,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
261, C Class,2019,24498,Semi-Auto,12629,Diesel,145,61.4,2.1
262, SL CLASS,2017,20998,Semi-Auto,13526,Petrol,145,47.9,2.0
263, E Class,2015,19698,Semi-Auto,23578,Diesel,150,54.3,3.0
264, A Class,2018,23498,Semi-Auto,5189,Petrol,150,53.3,1.3
265, A Class,2019,21498,Semi-Auto,6324,Diesel,145,65.7,1.5
266, A Class,2019,21498,Semi-Auto,5685,Diesel,145,65.7,1.5
267, SL CLASS,2019,64998,Semi-Auto,313,Petrol,145,31.4,4.7
268, E Class,2015,19498,Semi-Auto,17167,Diesel,145,54.3,3.0
269, C Class,2015,12298,Semi-Auto,68718,Petrol,125,53.3,2.0
270, SL CLASS,2017,21998,Semi-Auto,4657,Diesel,145,70.6,2.1
271, GLE Class,2016,24998,Semi-Auto,30121,Diesel,205,47.9,2.1
272, GLC Class,2017,29998,Semi-Auto,23326,Diesel,150,56.5,2.1
273, E Class,2016,15635,Semi-Auto,30132,Diesel,30,64.2,2.1
274, C Class,2018,20685,Semi-Auto,21929,Diesel,145,64.2,2.1
275, E Class,2017,19498,Semi-Auto,33037,Diesel,150,72.4,2.0
276, GLS Class,2018,46998,Semi-Auto,9182,Diesel,145,37.2,3.0
277, C Class,2016,20498,Semi-Auto,27968,Diesel,125,60.1,2.1
278, GLE Class,2017,30298,Semi-Auto,14786,Diesel,200,47.9,2.1
279, E Class,2015,20298,Semi-Auto,28056,Diesel,160,51.4,3.0
280, GLC Class,2017,37998,Semi-Auto,20418,Petrol,145,34.0,3.0
281, GLE Class,2017,28998,Semi-Auto,31322,Diesel,145,42.8,3.0
282, C Class,2014,15298,Semi-Auto,41416,Diesel,30,64.2,2.1
283, GLC Class,2016,22998,Semi-Auto,30162,Diesel,125,56.5,2.1
284, GLC Class,2018,31998,Semi-Auto,11605,Diesel,145,56.5,2.1
285, E Class,2019,36998,Semi-Auto,629,Petrol,145,32.9,2.0
286, GLA Class,2016,15998,Semi-Auto,52029,Diesel,125,56.5,2.1
287, GLA Class,2015,18498,Semi-Auto,22888,Diesel,125,55.4,2.1
288, GLC Class,2016,24998,Semi-Auto,30639,Diesel,125,56.5,2.1
289, GLC Class,2018,33998,Semi-Auto,7220,Diesel,145,56.5,2.1
290, C Class,2019,33998,Semi-Auto,3814,Petrol,145,44.1,1.5
291, C Class,2019,32998,Semi-Auto,17,Petrol,145,46.3,1.5
292, CLS Class,2016,21998,Semi-Auto,29306,Diesel,160,51.4,3.0
293, GLE Class,2016,28698,Semi-Auto,22707,Diesel,200,47.9,2.1
294, C Class,2018,19998,Semi-Auto,15383,Petrol,145,46.3,1.5
295, CLS Class,2019,44498,Semi-Auto,5428,Diesel,145,47.9,2.9
296, C Class,2015,13998,Manual,24010,Diesel,20,72.4,1.6
297, GLE Class,2017,30498,Semi-Auto,19605,Diesel,260,42.8,3.0
298, C Class,2019,24498,Semi-Auto,15838,Diesel,145,61.4,2.0
299, SL CLASS,2016,18498,Semi-Auto,33502,Diesel,30,70.6,2.1
300, A Class,2018,18998,Semi-Auto,12386,Diesel,145,68.9,1.5
301, C Class,2016,16498,Semi-Auto,37080,Diesel,20,64.2,2.1
302, GLC Class,2016,23998,Semi-Auto,42809,Diesel,125,56.5,2.1
303, CL Class,2015,19498,Semi-Auto,20820,Diesel,20,67.3,2.1
304, C Class,2016,15498,Semi-Auto,73582,Diesel,30,61.4,2.1
305, E Class,2017,19498,Semi-Auto,47007,Diesel,30,65.7,2.0
306, CLS Class,2019,39998,Semi-Auto,926,Diesel,145,45.6,2.0
307, E Class,2019,38998,Semi-Auto,378,Diesel,145,57.7,2.0
308, SL CLASS,2019,32998,Semi-Auto,17,Petrol,145,47.1,2.0
309, GLC Class,2019,34998,Semi-Auto,423,Diesel,145,56.5,2.1
310, A Class,2019,20998,Semi-Auto,9651,Diesel,145,56.5,2.0
311, S Class,2015,27498,Semi-Auto,35236,Diesel,200,47.9,3.0
312, SL CLASS,2017,20298,Semi-Auto,20055,Diesel,30,70.6,2.1
313, A Class,2018,21998,Semi-Auto,15450,Petrol,150,53.3,1.3
314, A Class,2019,21998,Semi-Auto,19324,Petrol,150,53.3,1.3
315, A Class,2016,21998,Semi-Auto,17171,Petrol,165,45.6,2.0
316, E Class,2016,19498,Semi-Auto,33249,Diesel,145,54.3,3.0
317, E Class,2016,18998,Semi-Auto,23951,Diesel,125,58.9,2.1
318, E Class,2017,21998,Semi-Auto,16062,Diesel,145,52.3,3.0
319, A Class,2017,15245,Manual,22969,Diesel,145,68.9,1.5
320, C Class,2014,10995,Manual,98000,Diesel,20,68.9,2.1
321, A Class,2013,9995,Manual,83000,Diesel,20,70.6,1.5
322, E Class,2017,23995,Semi-Auto,16820,Diesel,145,51.4,3.0
323, SL CLASS,2016,28650,Semi-Auto,9262,Petrol,260,36.7,3.0
324, M Class,2015,21998,Semi-Auto,37963,Diesel,205,39.2,2.1
325, C Class,2014,15698,Semi-Auto,39920,Diesel,30,64.2,2.1
326, V Class,2018,20498,Manual,25254,Diesel,145,46.3,2.1
327, E Class,2019,39998,Semi-Auto,2675,Hybrid,135,134.5,2.0
328, GLA Class,2015,18498,Semi-Auto,18106,Diesel,125,56.6,2.1
329, C Class,2016,18498,Semi-Auto,31891,Hybrid,0,134.5,2.0
330, GLC Class,2015,24498,Semi-Auto,23487,Diesel,125,56.5,2.1
331, V Class,2018,20498,Manual,20841,Diesel,145,46.3,2.1
332, V Class,2018,20498,Manual,22033,Diesel,145,46.3,2.1
333, C Class,2019,31998,Semi-Auto,2000,Petrol,145,42.2,2.0
334, C Class,2019,29998,Semi-Auto,28000,Petrol,145,44.1,2.0
335, C Class,2019,24998,Semi-Auto,22400,Petrol,145,44.1,1.5
336, S Class,2015,26498,Semi-Auto,34434,Diesel,200,48.7,3.0
337, C Class,2019,32998,Semi-Auto,2878,Petrol,145,42.2,2.0
338, C Class,2019,32998,Semi-Auto,4500,Petrol,145,42.2,2.0
339, C Class,2019,29998,Semi-Auto,836,Petrol,145,43.5,2.0
340, GLE Class,2016,30998,Semi-Auto,14149,Diesel,235,42.8,3.0
341, SL CLASS,2016,19998,Semi-Auto,27801,Petrol,145,47.9,2.0
342, C Class,2017,23998,Semi-Auto,14462,Diesel,20,67.3,2.1
343, E Class,2019,48998,Semi-Auto,2669,Diesel,145,47.1,3.0
344, C Class,2019,32498,Semi-Auto,1887,Petrol,145,46.3,1.5
345, E Class,2017,19998,Semi-Auto,52570,Diesel,30,65.7,2.0
346, GLE Class,2016,27998,Semi-Auto,24732,Diesel,200,47.9,2.1
347, SL CLASS,2016,18998,Semi-Auto,29302,Diesel,30,70.6,2.1
348, GLE Class,2017,28498,Semi-Auto,30825,Diesel,145,47.9,2.1
349, E Class,2015,17998,Semi-Auto,42577,Diesel,145,54.3,3.0
350, E Class,2015,18498,Semi-Auto,40348,Diesel,145,54.3,3.0
